,Date,Stock,Action,Institution Name,Client Name,Exchange,Deal type,Avg Price,Quantity,Percentage Traded
172,2017-05-08,Shankara Building Products Ltd.,Sell,Reliance Group,RELIANCE ALTERNATIVE INVESTMENTS FUND - PRIVATE EQUITY SCHE,NSE,Bulk,695.72,1640962,0.0677
173,2017-05-15,SVOGL Oil Gas and Energy Ltd.,Sell,Franklin India Group,TEMPLETON STRATEGIC EMERGING MARKETS FUND III LDC,BSE,Bulk,2.33,3707895,0.0
177,2017-06-16,Ipca Laboratories Ltd.,Sell,Axis Group,AXIS MUTUAL FUND A/C AXIS LONG TERM EQUITY FUND,NSE,Bulk,453.64,1108795,0.0044
180,2017-06-28,GNA Axles Ltd.,Sell,Reliance Group,RELIANCE MUTUAL FUND A/C RELIANCE SMALL CAP FUND,BSE,Bulk,229.01,856030,0.0199
181,2017-06-28,Saregama India Ltd.,Sell,Reliance Group,RELIANCE SPOT EXCHANGE INFRASTRUCTURE LTD,NSE,Bulk,282.87,163000,0.0008
184,2017-07-07,Saregama India Ltd.,Sell,Reliance Group,RELIANCE CORPORATE ADVISORY SERVICES LIMITED,NSE,Bulk,281.92,406000,0.0021
190,2017-09-13,Cyber Media (India) Ltd.,Sell,Reliance Group,RELIANCE WEALTH MANAGEMENT LIMITED,NSE,Bulk,5.94,226983,0.014499999999999999
192,2017-09-29,Radico Khaitan Ltd.,Sell,Reliance Group,RELIANCE CAPITAL TRUSTEE CO LIMITED A/C RELIANCE GROWTH FUND,NSE,Bulk,160.19,1170000,0.0088
193,2017-10-04,India Grid Trust,Sell,Reliance Group,RELIANCE VENTURE ASSET MANAGEMENT PRIVATE LIMITED,NSE,Bulk,95.0,6557355,0.009399999999999999
195,2017-10-16,India Grid Trust,Sell,Reliance Group,RELIANCE VENTURE ASSET MANAGEMENT PRIVATE LIMITED,NSE,Bulk,94.5,2551500,0.0036
199,2017-11-01,Tarmat Ltd.,Sell,Franklin India Group,TEMPLETON STOCKGROWTH PRIVATE LIMITED,NSE,Bulk,54.77,82805,0.0039000000000000003
204,2017-12-19,Butterfly Gandhimathi Appliances Ltd.,Sell,Reliance Group,RELIANCE ALTERNATIVE INVST FUND PVT EQ SCHEME I .,NSE,Bulk,525.0,200000,0.011200000000000002
206,2017-12-22,Pidilite Industries Ltd.,Sell,Axis Group,AXIS MUTUAL FUND,BSE,Bulk,928.0,5500000,0.0108
207,2018-01-12,Butterfly Gandhimathi Appliances Ltd.,Sell,Reliance Group,RELIANCE ALTERNATIVE INVST FUND PVT EQ SCHEME I .,NSE,Bulk,580.67,850000,0.0475
208,2018-01-18,Arman Financial Services Ltd.,Sell,Reliance Group,RELIANCE MUTUAL FUND,BSE,Bulk,255.5,394798,0.0403
210,2018-01-23,Oriental Hotels Ltd.,Sell,Reliance Group,RELIANCE MUTUAL FUND - RELIANCE MID & SMALL CAP FUND,NSE,Bulk,61.5,11950000,0.0669
212,2018-02-06,Veto Switchgears & Cables Ltd.,Sell,Reliance Group,RELIANCE WEALTH MANAGEMENT LIMITED,NSE,Bulk,190.21,100732,0.0053
214,2018-03-28,Allcargo Gati Ltd.,Sell,Reliance Group,RELIANCE FINANCIAL LIMITED,NSE,Bulk,87.09,585000,0.0045000000000000005
215,2018-04-04,Sunil Hitech Engineers Ltd.,Sell,Reliance Group,RELIANCE FINANCIAL LIMITED,NSE,Bulk,7.65,3887000,0.0084
219,2018-05-30,Jubilant Foodworks Ltd.,Sell,Axis Group,AXIS MUTUAL FUND,BSE,Bulk,2541.8,372346,0.0006
220,2018-07-13,Solara Active Pharma Sciences Ltd.,Sell,Reliance Group,RELIANCE STRATEGIC INVESTMENTS LIMITED,NSE,Bulk,150.24,136666,0.0038
225,2018-09-28,Veto Switchgears & Cables Ltd.,Sell,Reliance Group,RELIANCE WEALTH MANAGEMENT LIMITED,NSE,Bulk,118.92,115269,0.006
227,2018-10-10,Mercator Ltd.,Sell,Reliance Group,RELIANCE FINANCIAL LIMITED,NSE,Bulk,11.1,3750000,0.0124
230,2018-11-05,BEML Ltd.,Sell,Reliance Group,RELIANCE STRATEGIC INVESTMENTS LIMITED,NSE,Bulk,711.23,262900,0.0063
233,2018-12-21,Omkar Speciality Chemicals Ltd.,Sell,HDFC Group,HDFC BANK LIMITED,BSE,Bulk,27.24,118241,0.005699999999999999
235,2019-02-25,Astra Microwave Products Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,78.0,981912,0.0103
236,2019-03-01,Spencers Retail Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,144.32,1451000,0.0161
238,2019-03-11,Matrimony.com Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,510.07,2013677,0.0905
240,2019-03-15,CARE Ratings Ltd.,Sell,Reliance Group,RELIANCE MUTUAL FUND,NSE,Bulk,999.0,519000,0.0174
243,2019-04-18,Ajanta Pharma Ltd.,Sell,Kotak Group,KOTAK MAHINDRA (INTERNATIONAL) LTD,NSE,Bulk,1033.0,505977,0.004
245,2019-05-15,India Grid Trust,Sell,Axis Group,AXIS BANK LIMITED,BSE,Bulk,83.89,8322993,0.011899999999999999
246,2019-05-29,S Chand & Company Ltd.,Sell,HDFC Group,HDFC MF A/C HDFC GROWTH FUND,NSE,Bulk,118.49,226000,0.0064
253,2019-07-01,Eros International Media Ltd.,Sell,Reliance Group,RELIANCE FINANCIAL LIMITED,NSE,Bulk,17.2,1000000,0.0104
256,2019-08-08,CARE Ratings Ltd.,Sell,Reliance Group,RELIANCE CAPITAL TRUSTEE CO LTD A/C RELIANCE BANKING FUND,NSE,Bulk,548.19,170000,0.005699999999999999
261,2019-08-22,CG Power and Industrial Solutions Ltd.,Sell,Reliance Group,RELIANCE MUTUAL FUND,NSE,Bulk,10.7,12364151,0.008100000000000001
269,2019-09-27,S Chand & Company Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,64.0,1157061,0.0329
270,2019-09-30,Butterfly Gandhimathi Appliances Ltd.,Sell,Reliance Group,RELIANCE ALTERNATIVE INVESTMENTS FUND,BSE,Bulk,145.65,964800,0.054000000000000006
273,2019-10-16,Punjab Communications Ltd.,Sell,HDFC Group,HDFC BANK LIMITED,BSE,Bulk,10.6,103032,0.0086
278,2019-11-13,Magellanic Cloud Ltd.,Sell,HDFC Group,HDFC BANK LIMITED,BSE,Bulk,15.0,311987,0.0027
279,2019-11-13,VST Industries Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,4260.0,273706,0.0177
280,2019-11-15,Ejecta Marketing Ltd.,Sell,HDFC Group,HDFC BANK LIMITED,BSE,Bulk,0.21,117097,0.008
283,2019-11-28,Everest Industries Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,274.98,347860,0.022000000000000002
284,2019-11-29,Reliance Power Ltd.,Sell,Axis Group,AXIS BANK LIMITED,NSE,Bulk,3.65,22000000,0.0058
286,2019-12-16,IFB Industries Ltd.,Sell,Kotak Group,KOTAK MAHINDRA INTERNATIONAL LIMITED,BSE,Bulk,600.0,3540902,0.0874
287,2019-12-19,GFL Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND A/C HDFC SMALL CAP FUND,NSE,Bulk,77.85,720000,0.0066
289,2020-01-09,Jindal Stainless Ltd.,Sell,SBI Group,STATE BANK OF INDIA,NSE,Bulk,38.65,20917930,0.0254
291,2020-01-13,Religare Enterprises Ltd.,Sell,Axis Group,AXIS BANK LTD.,NSE,Bulk,44.0,9000000,0.0273
292,2020-01-13,The Anup Engineering Ltd.,Sell,HDFC Group,HDFC STANDARD LIFE INSURANCE CO LTD,NSE,Bulk,535.01,53485,0.0054
294,2020-01-15,Info Edge (India) Ltd.,Sell,Axis Group,AXIS MUTUAL FUND,BSE,Bulk,2532.35,2350000,0.0182
296,2020-01-16,Astral Ltd.,Sell,Axis Group,AXIS LONG TERM EQUITY FUND,BSE,Bulk,1129.0,2800000,0.0104
297,2020-01-17,AGI Greenpac Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,59.31,500000,0.0077
302,2020-02-11,Greenpanel Industries Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,55.01,1101000,0.009000000000000001
304,2020-02-17,APL Apollo Tubes Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,2000.0,300000,0.0011
305,2020-02-19,Religare Enterprises Ltd.,Sell,Axis Group,AXIS BANK LTD,NSE,Bulk,42.0,2900000,0.0088
306,2020-02-26,Sadbhav Engineering Ltd.,Sell,HDFC Group,HDFC STANDARD LIFE INSURANCE CO LTD,NSE,Bulk,80.13,890100,0.0052
308,2020-03-03,Elgi Equipments Ltd.,Sell,SBI Group,SBI MUTUAL FUND,NSE,Bulk,198.0,4664785,0.0147
311,2020-03-24,Thyrocare Technologies Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND - HDFC CAPITAL BUILDER VALUE FUND,NSE,Bulk,500.0,1014408,0.0192
312,2020-03-26,GHCL Ltd.,Sell,HDFC Group,HDFC BANK LIMITED,BSE,Bulk,74.08,1029440,0.0108
313,2020-03-27,Primo Chemicals Ltd.,Sell,HDFC Group,HDFC BANK LIMITED,BSE,Bulk,25.5,141919,0.0006
317,2020-04-15,Elgi Equipments Ltd.,Sell,SBI Group,SBI MUTUAL FUND,NSE,Bulk,134.5,3300000,0.0104
319,2020-04-17,Star Cement Ltd.,Sell,SBI Group,SBI MUTUAL FUND,NSE,Bulk,72.9,10943385,0.0271
321,2020-04-21,Rajratan Global Wire Ltd.,Sell,SBI Group,SBI MUTUAL FUND,BSE,Bulk,220.0,85000,0.0017000000000000001
323,2020-05-28,Reliance Industries Limited-Rights Entitlement,Sell,Reliance Group,RELIANCE SERVICES AND HOLDINGS LIMITED,BSE,Block,199.2,11458854,0.0
324,2020-06-01,S H Kelkar & Company Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND - HDFC CAPITAL BUILDER FUND,NSE,Bulk,58.41,1435511,0.0104
328,2020-06-02,Kotak Mahindra Bank Ltd.,Sell,Kotak Group,UDAY SURESH KOTAK,BSE,Block,1240.0,111756074,0.0565
330,2020-06-03,S H Kelkar & Company Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND A/C HDFC CAPITAL BUILDER VALUE FUND,NSE,Bulk,62.03,4000000,0.028900000000000002
333,2020-06-08,Coffee Day Enterprises Ltd.,Sell,Kotak Group,KOTAK MAHINDRA INVESTMENTS LIMITED,BSE,Bulk,14.05,1284619,0.0060999999999999995
335,2020-06-12,Goodyear India Ltd.,Sell,SBI Group,SBI MUTUAL FUND,BSE,Bulk,711.0,675094,0.029300000000000003
337,2020-06-15,Newgen Software Technologies Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,146.45,1474194,0.0105
339,2020-06-17,Chalet Hotels Ltd.,Sell,SBI Group,SBI MUTUAL FUND,NSE,Bulk,131.4,4199834,0.0204
341,2020-06-17,Great Eastern Shipping Company Ltd.,Sell,SBI Group,SBI MUTUAL FUND,NSE,Bulk,213.0,5537077,0.0388
345,2020-06-17,eClerx Services Ltd.,Sell,SBI Group,SBI MUTUAL FUND,NSE,Bulk,425.9,1681501,0.034300000000000004
347,2020-06-19,Equitas Holdings Ltd.,Sell,Kotak Group,KOTAK SECURITIES LTD,NSE,Bulk,52.06,282301,0.0008
348,2020-06-19,ICICI Lombard General Insurance Company Ltd.,Sell,ICICI Group,ICICI BANK LTD. (INVESTMENT),NSE,Bulk,1250.55,18000000,0.0366
350,2020-06-19,Orient Cement Ltd.,Sell,HDFC Group,HDFC TRUSTEE CO LTD AC HDFC EQUITY OPPORTUNITIES FUND II 1126D MAY 2017 1,NSE,Bulk,72.93,1796150,0.0088
352,2020-06-19,Texmaco Rail & Engineering Ltd.,Sell,HDFC Group,HDFC TRUSTEE CO LTD A/C HDFC EQUITY OPPORTUNITIES FUND II 1100D JUNE 2017 (1),NSE,Bulk,25.95,3112600,0.008100000000000001
353,2020-06-22,ICICI Prudential Life Insurance Company Ltd.,Sell,ICICI Group,ICICI BANK LTD. (INVESTMENT),NSE,Block,391.6,43000000,0.0298
357,2020-06-30,Lemon Tree Hotels Ltd.,Sell,SBI Group,SBI MUTUAL FUND,NSE,Bulk,22.8,40000000,0.050499999999999996
359,2020-07-02,KRBL Ltd.,Sell,Kotak Group,KOTAK MAHINDRA INTERNATIONAL LIMITED,NSE,Bulk,262.03,1298728,0.005699999999999999
362,2020-07-09,Tejas Networks Ltd.,Sell,HDFC Group,HDFC MF A/C HDFC GROWTH FUND,NSE,Bulk,51.8,1219691,0.0072
363,2020-07-16,eClerx Services Ltd.,Sell,Franklin India Group,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Bulk,525.01,1126444,0.023
366,2020-08-04,Aarti Surfactants Ltd.,Sell,HDFC Group,"HDFC MUTUAL FUND A/C - HDFC MIDCAP OPPORTUNITIES FUND, HDFC TRUSTEE COMPANY LIMITED A/C HDFC MID-CAP OPPORTUNITIES FUND, HDFC MUTUAL FUND A/C - HDFC HYBRID EQUITY FUND, HDFC MUTUAL FUND A/C HDFC MID-CAP OPPORTUNITIES FUND",BSE,Bulk,245.9,692791,0.0872
368,2020-08-11,Inox Leisure Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,233.0,3037236,0.0248
369,2020-08-12,InterGlobe Aviation Ltd.,Sell,Kotak Group,KOTAK MAHINDRA (INTERNATIONAL) LIMITED,BSE,Bulk,1028.0,5434527,0.0141
371,2020-08-12,Spicejet Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,49.15,4304640,0.0063
373,2020-08-19,Control Print Ltd.,Sell,SBI Group,SBI MUTUAL FUND,NSE,Bulk,215.75,983959,0.061500000000000006
375,2020-08-20,V-Guard Industries Ltd.,Sell,Axis Group,AXIS MUTUAL FUND,NSE,Block,160.25,18993438,0.0438
380,2020-08-25,Techno Electric & Engineering Company Ltd.,Sell,SBI Group,SBI MUTUAL FUND,NSE,Bulk,202.0,5346098,0.049699999999999994
382,2020-08-28,ICICI Securities Ltd.,Sell,ICICI Group,ICICI BANK LTD. (INVESTMENT),NSE,Bulk,480.95,6442000,0.0199
383,2020-09-07,Indiabulls Housing Finance Ltd.,Sell,Franklin India Group,FRANKLIN MUTUAL SERIES FUNDS-FRANKLIN MUTUAL BEACON FUND,NSE,Bulk,194.04,3100000,0.0054
388,2020-09-23,Satin Creditcare Network Ltd.,Sell,SBI Group,SBI EMERGING ASIA FINANCIAL SECTOR FUND PTE LTD,BSE,Bulk,56.1,1424030,0.0129
391,2020-10-21,BEML Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,619.72,344800,0.0083
393,2020-10-21,Kirloskar Pneumatic Company Ltd.,Sell,HDFC Group,HDFC TRUSTEE CO LTD AC HDFC HOUSING OPPORTUNITIES FUND 1140D NOVEMBER 2017 1,BSE,Bulk,112.0,2460905,0.038
394,2020-11-02,Premier Explosives Ltd.,Sell,HDFC Group,"HDFC MUTUAL FUND, HDFC MUTUAL FUND A/C HDFC INFRASTRUCTURE FUND",BSE,Bulk,115.0,200000,0.018600000000000002
399,2020-11-17,Ashiana Housing Ltd.,Sell,SBI Group,SBI MUTUAL FUND,NSE,Bulk,82.9,2329821,0.0232
400,2020-11-20,TD Power Systems Ltd.,Sell,ICICI Group,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD A/C PMS,NSE,Bulk,131.3,173833,0.0011
403,2020-11-26,Tube Investments of India Ltd.,Sell,HDFC Group,HDFC MUTUAL FUND - HDFC SMALL CAP FUND,NSE,Bulk,841.0,2350000,0.012199999999999999
