Stock,Institution Name,Client Name,Exchange,Deal type,Action,Date,Avg Price,Quantity,Percentage Traded
"Swan Energy Ltd.
 10-year high",SBI Group,SBI LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,12/5/2023,414,"2,000,000",0.76%
G R Infraprojects Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,12/4/2023,1074.5,"1,805,754",1.87%
G R Infraprojects Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Sell,12/4/2023,1074.5,"1,794,285",1.86%
SEPC Ltd.,SBI Group,STATE BANK OF INDIA,NSE,Bulk,Sell,11/29/2023,18.78,"35,636,940",2.53%
SEPC Ltd.,SBI Group,STATE BANK OF INDIA,NSE,Bulk,Sell,11/28/2023,19.48,"18,999,422",1.35%
Rajshree Sugars & Chemicals Ltd.,SBI Group,STATE BANK OF INDIA,BSE,Bulk,Sell,11/24/2023,54.67,"369,571",1.12%
SEPC Ltd.,SBI Group,STATE BANK OF INDIA,NSE,Bulk,Sell,11/24/2023,20.71,"9,385,452",0.67%
Rajshree Sugars & Chemicals Ltd.,SBI Group,STATE BANK OF INDIA,NSE,Bulk,Sell,11/23/2023,52.16,"208,202",0.63%
SEPC Ltd.,SBI Group,STATE BANK OF INDIA,NSE,Bulk,Sell,11/23/2023,20,"8,873,785",0.63%
Chemplast Sanmar Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,11/20/2023,428.3,"7,000,000",4.43%
Chemplast Sanmar Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Sell,11/20/2023,428.3,"7,000,000",4.43%
Go Fashion (India) Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,11/20/2023,1221.65,"1,855,715",3.44%
Go Fashion (India) Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Sell,11/20/2023,1221.65,"1,855,638",3.44%
MSP Steel & Power Ltd.,SBI Group,STATE BANK OF INDIA,NSE,Bulk,Sell,11/13/2023,18.53,"1,929,977",0.50%
Aptus Value Housing Finance India Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,11/10/2023,287,"6,000,000",1.20%
Aptus Value Housing Finance India Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Block,Purchase,11/10/2023,287,"6,000,000",1.20%
MSP Steel & Power Ltd.,SBI Group,STATE BANK OF INDIA,NSE,Bulk,Sell,10/11/2023,18.32,"4,200,000",1.09%
Jyoti Structures Ltd.,SBI Group,STATE BANK OF INDIA,BSE,Bulk,Sell,10/9/2023,16.1,"3,400,000",0.54%
Tube Investments of India Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Bulk,Purchase,9/29/2023,2900,"1,204,746",0.62%
MSP Steel & Power Ltd.,SBI Group,STATE BANK OF INDIA,NSE,Bulk,Sell,9/28/2023,16.3,"3,800,000",0.99%
MSP Steel & Power Ltd.,SBI Group,STATE BANK OF INDIA,NSE,Bulk,Sell,9/27/2023,15.55,"5,700,000",1.48%
JTL Industries Ltd.,SBI Group,SBI GENERAL INSURANCE COMPANY LIMITED,NSE,Bulk,Purchase,9/13/2023,201,"600,000",0.35%
L&T Finance Holdings Ltd.,SBI Group,SBI LIFE INSURANCE COMPANY LTD,BSE,Block,Purchase,9/12/2023,130,"14,680,000",0.59%
VRL Logistics Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Bulk,Purchase,9/8/2023,681,"1,354,201",1.55%
VRL Logistics Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Bulk,Purchase,9/8/2023,681,"574,804",0.66%
Safari Industries (India) Ltd.,SBI Group,SBI LIFE INSURANCE COMPANY LTD,BSE,Bulk,Purchase,9/5/2023,3775,"205,000",0.43%
"Zomato Ltd.
 52 week high",SBI Group,SBI LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,8/28/2023,90.1,"7,214,001",0.08%
Coforge Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,8/24/2023,4703,"585,000",0.95%
Coforge Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,8/24/2023,4703,"585,000",0.95%
Coforge Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,8/24/2023,4703,"510,000",0.83%
Coforge Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,8/24/2023,4703,"451,000",0.73%
Coforge Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,8/24/2023,4703,"450,000",0.73%
United Breweries Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,7/26/2023,1465.8,"4,628,452",1.75%
United Breweries Ltd.,SBI Group,STATE BANK OF INDIA (S),NSE,Bulk,Sell,7/26/2023,1465.8,"4,628,452",1.75%
United Breweries Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Block,Purchase,7/26/2023,1465.8,"4,628,452",1.75%
United Breweries Ltd.,SBI Group,STATE BANK OF INDIA (S),NSE,Block,Sell,7/26/2023,1465.8,"4,628,452",1.75%
Satin Creditcare Network Ltd.,SBI Group,SBI EMERGING ASIA FINANCIAL SECTOR FUND PTE LTD,NSE,Bulk,Sell,7/14/2023,178,"1,889,579",1.71%
Sansera Engineering Ltd.,SBI Group,SBI LIFE INSURANCE COMPANY LIMITED,NSE,Bulk,Purchase,6/22/2023,835,"479,042",0.89%
Sansera Engineering Ltd.,SBI Group,SBI LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,6/22/2023,835,"479,042",0.89%
Shriram Finance Ltd.,SBI Group,SBI LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,6/21/2023,1545,"237,220",0.06%
Shriram Finance Ltd.,SBI Group,SBI LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,6/21/2023,1545,"162,000",0.04%
Shriram Finance Ltd.,SBI Group,SBI LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,6/21/2023,1545,780,0.00%
"HDFC Asset Management Company Ltd.
 10-year high Insider Trades",SBI Group,SBI MUTUAL FUND,BSE,Bulk,Purchase,6/20/2023,1873,"3,334,825",1.56%
"HDFC Asset Management Company Ltd.
 10-year high Insider Trades",SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,"3,334,825",1.56%
"HDFC Asset Management Company Ltd.
 10-year high Insider Trades",SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,"1,014,416",0.48%
"HDFC Asset Management Company Ltd.
 10-year high Insider Trades",SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,"1,014,416",0.48%
"HDFC Asset Management Company Ltd.
 10-year high Insider Trades",SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,"1,014,415",0.48%
"HDFC Asset Management Company Ltd.
 10-year high Insider Trades",SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,"587,293",0.28%
"HDFC Asset Management Company Ltd.
 10-year high Insider Trades",SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,"400,428",0.19%
"HDFC Asset Management Company Ltd.
 10-year high Insider Trades",SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,"300,000",0.14%
"HDFC Asset Management Company Ltd.
 10-year high Insider Trades",SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,"214,259",0.10%
"HDFC Asset Management Company Ltd.
 10-year high Insider Trades",SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,"186,168",0.09%
"HDFC Asset Management Company Ltd.
 10-year high Insider Trades",SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,"170,000",0.08%
"HDFC Asset Management Company Ltd.
 10-year high Insider Trades",SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,"53,390",0.03%
"HDFC Asset Management Company Ltd.
 10-year high Insider Trades",SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,"53,390",0.03%
"HDFC Asset Management Company Ltd.
 10-year high Insider Trades",SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,"7,000",0.00%
Krishna Institute of Medical Sciences Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Bulk,Purchase,6/20/2023,1710,"4,068,698",5.08%
Krishna Institute of Medical Sciences Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1710,"4,068,698",5.08%
CMS Info Systems Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,6/9/2023,300,"6,713,513",4.28%
HDFC Life Insurance Company Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,5/31/2023,579.6,"5,900,000",0.27%
HDFC Life Insurance Company Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,5/31/2023,579.6,"3,400,000",0.16%
HDFC Life Insurance Company Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,5/31/2023,579.6,"1,724,800",0.08%
HDFC Life Insurance Company Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,5/31/2023,579.6,"1,270,268",0.06%
HDFC Life Insurance Company Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,5/31/2023,579.6,"1,040,000",0.05%
HDFC Life Insurance Company Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,5/31/2023,579.6,"570,000",0.03%
HDFC Life Insurance Company Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,5/31/2023,579.6,"243,172",0.01%
HDFC Life Insurance Company Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,5/31/2023,579.6,"51,760",0.00%
Garware Technical Fibres Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,5/16/2023,2976.75,"213,707",1.05%
Garware Technical Fibres Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Sell,5/16/2023,2976.75,"209,183",1.03%
Disa India Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Bulk,Purchase,5/9/2023,7975,"19,175",1.32%
Disa India Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Bulk,Sell,5/9/2023,7975,"19,173",1.32%
Disa India Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Bulk,Purchase,5/3/2023,8000,"14,327",0.99%
Disa India Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Bulk,Sell,5/3/2023,8000.07,"14,347",0.99%
Torrent Power Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,4/10/2023,520,"8,407,066",1.75%
Torrent Power Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Sell,4/10/2023,520,"8,390,783",1.75%
"SJVN Ltd.
 Dividend",SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,3/27/2023,30.85,"76,127,461",1.94%
"SJVN Ltd.
 Dividend",SBI Group,SBI MUTUAL FUND,NSE,Bulk,Sell,3/27/2023,30.85,"76,339,578",1.94%
PVR INOX Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Bulk,Purchase,3/20/2023,1559.35,"1,469,650",1.50%
"Data Patterns (India) Ltd.
 High Gain High Volume",HDFC Group,HDFC MUTUAL FUND,BSE,Block,Purchase,2/16/2024,1837,"138,000",0.25%
"Sudarshan Chemical Industries Ltd.
 52 week high Insider Trades",HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,2/15/2024,513.99,"1,775,551",2.56%
Avalon Technologies Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,2/8/2024,474,"1,431,000",2.18%
"Computer Age Management Services Ltd.
 Insider Trades",HDFC Group,HDFC BANK LIMITED,NSE,Bulk,Sell,1/24/2024,2700.08,"529,000",1.08%
"Computer Age Management Services Ltd.
 Insider Trades",HDFC Group,HDFC BANK LIMITED,BSE,Bulk,Sell,1/24/2024,2700,"471,000",0.96%
VST Industries Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,1/2/2024,3390.13,"200,000",1.30%
Sansera Engineering Ltd.,HDFC Group,HDFC STANDARD LIFE INSURANCE CO LTD,BSE,Bulk,Purchase,12/22/2023,965,"825,000",1.54%
Symphony Ltd.,HDFC Group,HDFC MUTUAL FUND MULTI CAP FUND,NSE,Bulk,Purchase,12/20/2023,880,"600,000",0.87%
Embassy Office Parks REIT,HDFC Group,HDFC MUTUAL FUND A/C - HDFC PRUDANCE FUND,BSE,Bulk,Purchase,12/20/2023,316,"8,077,631",0.85%
Embassy Office Parks REIT,HDFC Group,HDFC MUTUAL FUND A/C HTCL - HDFC Flexi Cap Fund,BSE,Bulk,Purchase,12/20/2023,316,"6,483,471",0.68%
Embassy Office Parks REIT,HDFC Group,HDFC MUTUAL FUND A/C HDFC CREDIT RISK DEBT FUND,BSE,Bulk,Purchase,12/20/2023,316,"6,058,223",0.64%
"Sapphire Foods India Ltd.
 Insider Trades",HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,12/18/2023,1400,"2,200,000",3.45%
PVR INOX Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Block,Purchase,12/15/2023,1753,"57,225",0.06%
PB Fintech Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Block,Purchase,12/15/2023,800.05,"1,150,000",0.25%
"Fusion Micro Finance Ltd.
 Insider Trades",HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,12/14/2023,555.6,"3,129,172",3.10%
"Fusion Micro Finance Ltd.
 Insider Trades",HDFC Group,HDFC MUTUAL FUND,BSE,Block,Purchase,12/14/2023,555.6,"3,129,172",3.10%
"Fusion Micro Finance Ltd.
 Insider Trades",HDFC Group,HDFC STANDARD LIFE INSURANCE CO LTD,BSE,Block,Purchase,12/14/2023,555.6,"388,000",0.38%
Delta Corp Ltd.,HDFC Group,HDFC MUTUAL FUND-HDFC MULTI CAP FUND,NSE,Bulk,Purchase,12/11/2023,135.95,"3,000,000",1.12%
Delta Corp Ltd.,HDFC Group,HDFC MUTUAL FUND - HDFC MID-CAP OPPORTUNITIES FUND,NSE,Bulk,Sell,12/11/2023,135.95,"3,000,000",1.12%
"Jagran Prakashan Ltd.
 High Gain High Volume",HDFC Group,HDFC MUTUAL FUND-HDFC MULTI CAP FUND,NSE,Bulk,Purchase,12/11/2023,95.55,"3,200,000",1.47%
"Jagran Prakashan Ltd.
 High Gain High Volume",HDFC Group,HDFC MUTUAL FUND - HDFC MID-CAP OPPORTUNITIES FUND,NSE,Bulk,Sell,12/11/2023,95.66,"3,595,948",1.65%
"Computer Age Management Services Ltd.
 Insider Trades",HDFC Group,HDFC STANDARD LIFE INSURANCE COMPANY LTD,BSE,Block,Purchase,12/4/2023,2766,"45,000",0.09%
"Computer Age Management Services Ltd.
 Insider Trades",HDFC Group,HDFC STANDARD LIFE INSURANCE COMPANY LTD,BSE,Block,Purchase,12/4/2023,2766,"12,000",0.02%
"Zomato Ltd.
 52 week high",HDFC Group,HDFC MUTUAL FUND,NSE,Block,Purchase,10/20/2023,111.2,"899,290",0.01%
Aditya Vision Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,10/17/2023,2601.93,"95,000",0.79%
Hindustan Oil Exploration Company Ltd.,HDFC Group,HDFC BANK LTD,BSE,Bulk,Sell,9/28/2023,155.11,"1,365,000",1.03%
Hindustan Oil Exploration Company Ltd.,HDFC Group,HDFC BANK LTD,NSE,Bulk,Sell,9/28/2023,155.25,"1,100,260",0.83%
Aditya Vision Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,9/15/2023,2199.74,"500,003",4.16%
KNR Constructions Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,9/11/2023,273.52,"1,550,000",0.55%
Five-Star Business Finance Ltd.,HDFC Group,HDFC MUTUAL FUND A/C HTCL - HDFC MID - CAP OPPORTUNITIES FUND,BSE,Bulk,Purchase,9/1/2023,730,"4,119,334",1.41%
"Sula Vineyards Ltd.
 Dividend",HDFC Group,HDFC MUTUAL FUND A/C HDFC SMALL CAP FUND,NSE,Bulk,Purchase,8/31/2023,484,"2,011,246",2.38%
"Sula Vineyards Ltd.
 Dividend",HDFC Group,HDFC MUTUAL FUND A/C HDFC LARGE AND MID CAP FUND,NSE,Bulk,Purchase,8/31/2023,484,"861,962",1.02%
"Sula Vineyards Ltd.
 Dividend",HDFC Group,HDFC MUTUAL FUND A/C HDFC MULTI CAP FUND,NSE,Bulk,Purchase,8/31/2023,484,"646,472",0.77%
Coforge Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,8/24/2023,4703,"652,402",1.06%
"Simplex Infrastructures Ltd.
 52 week high",HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,8/14/2023,55.2,"1,000,000",1.75%
"Simplex Infrastructures Ltd.
 52 week high",HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,8/14/2023,55.2,"382,805",0.67%
"Simplex Infrastructures Ltd.
 52 week high",HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,8/11/2023,52.47,"500,000",0.88%
"Simplex Infrastructures Ltd.
 52 week high",HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,8/11/2023,52.35,"481,300",0.84%
Eris Lifesciences Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,7/18/2023,728.49,"829,618",0.61%
Eris Lifesciences Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,7/6/2023,697,"1,350,000",0.99%
Eris Lifesciences Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Block,Purchase,7/6/2023,697,"1,350,000",0.99%
Eris Lifesciences Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Block,Purchase,7/6/2023,697,"675,000",0.50%
TD Power Systems Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,6/30/2023,221,"5,671,260",3.63%
TD Power Systems Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Block,Purchase,6/30/2023,221,"5,671,260",3.63%
Sahana System Ltd.,HDFC Group,HDFC BANK LIMITED,NSE,Bulk,Sell,6/12/2023,171.15,"44,000",0.55%
De Neers Tools Ltd.,HDFC Group,HDFC BANK LTD,NSE,Bulk,Sell,5/11/2023,184.68,"60,000",0.70%
Global Surfaces Ltd.,HDFC Group,HDFC BANK LTD,NSE,Bulk,Sell,3/23/2023,167.48,"427,290",1.01%
Sona BLW Precision Forgings Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,3/13/2023,410,"3,658,537",0.62%
Safari Industries (India) Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,2/14/2023,1860,"250,000",0.53%
Phantom Digital Effects Ltd.,HDFC Group,HDFC BANK LTD,NSE,Bulk,Sell,10/21/2022,300,"63,600",0.47%
CG Power and Industrial Solutions Ltd.,HDFC Group,HDFC LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,9/7/2022,215,"3,500,000",0.23%
Rites Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,7/13/2022,235,"3,118,101",1.30%
Rites Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,7/13/2022,235,"1,925,000",0.80%
MTAR Technologies Ltd.,HDFC Group,HDFC MUTUAL FUND AC HDFC MULTI CAP FUND,BSE,Bulk,Purchase,6/29/2022,1250,"200,000",0.65%
Bata India Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Block,Purchase,6/1/2022,1860,"175,000",0.14%
Bata India Ltd.,HDFC Group,HDFC STANDARD LIFE INSURANCE CO LTD,BSE,Block,Purchase,6/1/2022,1860,"105,000",0.08%
Vesuvius India Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,3/17/2022,980.15,"387,773",1.91%
Vesuvius India Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,3/17/2022,980.15,"388,000",1.91%
Elecon Engineering Company Ltd.,HDFC Group,HDFC MUTUAL FUND-HDFC MULTI CAP FUND,NSE,Bulk,Purchase,12/28/2021,176.8,"2,020,682",1.80%
Elecon Engineering Company Ltd.,HDFC Group,HDFC MUTUAL FUND-HDFC EQUITY SAVINGS FUND,NSE,Bulk,Sell,12/28/2021,176.8,"1,857,100",1.66%
Apar Industries Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,12/17/2021,750,"500,000",1.24%
Apar Industries Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,12/17/2021,748.8,"200,000",0.50%
Apar Industries Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,12/17/2021,750,"673,639",1.68%
Sagar Cements Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,12/15/2021,248.15,"884,159",0.68%
Sagar Cements Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,12/15/2021,248.15,"884,159",0.68%
Kalpataru Projects International Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,12/9/2021,381.45,"1,263,185",0.78%
Kalpataru Projects International Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,12/9/2021,381.45,"1,263,185",0.78%
Nilkamal Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,12/9/2021,2311,"149,493",1.00%
Nilkamal Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,12/9/2021,2311,"149,493",1.00%
Wheels India Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,12/9/2021,663,"986,388",4.04%
Wheels India Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,12/9/2021,663,"986,388",4.04%
"Dilip Buildcon Ltd.
 Order Win 52 week high",HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,12/9/2021,565.5,"873,417",0.60%
"Dilip Buildcon Ltd.
 Order Win 52 week high",HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,12/9/2021,565.5,"873,460",0.60%
"Kirloskar Pneumatic Company Ltd.
 10-year high High Gain High Volume",HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,11/23/2021,392,"523,324",0.81%
"Kirloskar Pneumatic Company Ltd.
 10-year high High Gain High Volume",HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,11/16/2021,410.1,"500,000",0.77%
"Kirloskar Pneumatic Company Ltd.
 10-year high High Gain High Volume",HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,11/8/2021,397,"500,000",0.77%
"Kirloskar Pneumatic Company Ltd.
 10-year high High Gain High Volume",HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,10/29/2021,400,"500,000",0.77%
"Kirloskar Pneumatic Company Ltd.
 10-year high High Gain High Volume",HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,10/27/2021,383,"500,000",0.77%
Max Healthcare Institute Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,9/29/2021,350,"5,700,000",0.59%
Sadbhav Engineering Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,9/22/2021,49,"2,200,392",1.28%
Sadbhav Engineering Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,9/22/2021,49,"2,200,392",1.28%
Power Mech Projects Ltd.,HDFC Group,HDFC MUTUAL FUND HDFC A/C HDFC SMALL AND MID CAP FUND,NSE,Bulk,Purchase,9/1/2021,816.6,"183,476",1.16%
Power Mech Projects Ltd.,HDFC Group,HDFC MUTUAL FUND A/C BALANCED ADVANTAGE FUND,NSE,Bulk,Sell,9/1/2021,816.6,"183,476",1.16%
Aavas Financiers Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,8/20/2021,2452.5,"425,000",0.54%
Aavas Financiers Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Block,Purchase,8/20/2021,2452.5,"425,000",0.54%
