Date,Stock,Action,Institution Name,Client Name,Exchange,Deal type,Avg Price,Quantity,Percentage Traded,shortname,30Days,90Days,1Year,30_days_growth,90_days_growth,1_year_growth,context
14-07-2015,Ahluwalia Contracts (India) Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON MUTUAL FUND - FRANKLIN INDIA SMALLER COM,NSE,Bulk,220.57,417868,0.0062,AHLUCONT.NS,13-08-2015,12-10-2015,13-07-2016,0,0,0,"Franklin India Group purchased 417868 shares of Ahluwalia Contracts (India) Ltd. in their FRANKLIN TEMPLETON MUTUAL FUND - FRANKLIN INDIA SMALLER COM fund on NSE for the price of 220.57 . This was a Bulk deal and after this purchase, the stock showed 0.0% growth in 1 month, 0.0% growth in 3 months and 0.0% growth in 1 year."
01-10-2015,eClerx Services Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON MUTUAL FUND,BSE,Bulk,1575,250000,0.0051,ECLERX.NS,31-10-2015,30-12-2015,30-09-2016,15.27,20.93,24.75,"Franklin India Group purchased 250000 shares of eClerx Services Ltd. in their FRANKLIN TEMPLETON MUTUAL FUND fund on BSE for the price of 1575.0 . This was a Bulk deal and after this purchase, the stock showed 15.27% growth in 1 month, 20.93% growth in 3 months and 24.75% growth in 1 year."
07-10-2015,Aditya Birla Fashion and Retail Ltd.,Purchase,Franklin India Group,TEMPLETON MUTUAL FUND - FRANKLIN INDIA HIGH GROWTH COMPANIES FUND,BSE,Bulk,221.99,476422,0.0005,ABFRL.NS,06-11-2015,05-01-2016,06-10-2016,-4.61,11.92,-34.39,"Franklin India Group purchased 476422 shares of Aditya Birla Fashion and Retail Ltd. in their TEMPLETON MUTUAL FUND - FRANKLIN INDIA HIGH GROWTH COMPANIES FUND fund on BSE for the price of 221.99 . This was a Bulk deal and after this purchase, the stock showed -4.61% growth in 1 month, 11.92% growth in 3 months and -34.39% growth in 1 year."
02-02-2016,Heidelberg Cement India Ltd.,Purchase,Franklin India Group,FRANKLIN INDIA SMALLER COMPANIES FUND,NSE,Bulk,71.5,2368515,0.0105,HEIDELBERG.NS,03-03-2016,02-05-2016,01-02-2017,-7.44,34.41,64.89,"Franklin India Group purchased 2368515 shares of Heidelberg Cement India Ltd. in their FRANKLIN INDIA SMALLER COMPANIES FUND fund on NSE for the price of 71.5 . This was a Bulk deal and after this purchase, the stock showed -7.44% growth in 1 month, 34.41% growth in 3 months and 64.89% growth in 1 year."
16-05-2016,JK Cement Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON INVT FUNDS,NSE,Bulk,579,911368,0.0118,JKCEMENT.NS,15-06-2016,14-08-2016,16-05-2017,6.17,28.85,92.42,"Franklin India Group purchased 911368 shares of JK Cement Ltd. in their FRANKLIN TEMPLETON INVT FUNDS fund on NSE for the price of 579.0 . This was a Bulk deal and after this purchase, the stock showed 6.17% growth in 1 month, 28.85% growth in 3 months and 92.42% growth in 1 year."
09-06-2016,Vardhman Textiles Ltd.,Purchase,Franklin India Group,TEMPLETON GLOBAL INVST TRUST-TEMPLETON EMRGNG MKTS SML CP FD,NSE,Bulk,847.55,396000,0.0014,VTL.NS,09-07-2016,07-09-2016,09-06-2017,12.23,18.82,50.36,"Franklin India Group purchased 396000 shares of Vardhman Textiles Ltd. in their TEMPLETON GLOBAL INVST TRUST-TEMPLETON EMRGNG MKTS SML CP FD fund on NSE for the price of 847.55 . This was a Bulk deal and after this purchase, the stock showed 12.23% growth in 1 month, 18.82% growth in 3 months and 50.36% growth in 1 year."
22-06-2016,Max Ventures and Industries Ltd.,Purchase,Reliance Group,RELIANCE MUTUAL FUND RELIANCE SMALL CAP FUND,BSE,Bulk,47.25,1245583,0.0085,-,22-07-2016,20-09-2016,22-06-2017,,,,"Reliance Group purchased 1245583 shares of Max Ventures and Industries Ltd. in their RELIANCE MUTUAL FUND RELIANCE SMALL CAP FUND fund on BSE for the price of 47.25 . This was a Bulk deal and after this purchase, the stock showed nan% growth in 1 month, nan% growth in 3 months and nan% growth in 1 year."
30-06-2016,Arman Financial Services Ltd.,Purchase,Reliance Group,RELIANCE MUTUAL FUND,BSE,Bulk,195,181175,0.0185,ARMANFIN.NS,30-07-2016,28-09-2016,30-06-2017,11.06,-0.04,-26.73,"Reliance Group purchased 181175 shares of Arman Financial Services Ltd. in their RELIANCE MUTUAL FUND fund on BSE for the price of 195.0 . This was a Bulk deal and after this purchase, the stock showed 11.06% growth in 1 month, -0.04% growth in 3 months and -26.73% growth in 1 year."
11-07-2016,Birla Corporation Ltd.,Purchase,Reliance Group,RELIANCE MUTUAL FUND,BSE,Bulk,542,1000000,0.013,BIRLACORPN.NS,10-08-2016,09-10-2016,11-07-2017,9.94,35.02,60.88,"Reliance Group purchased 1000000 shares of Birla Corporation Ltd. in their RELIANCE MUTUAL FUND fund on BSE for the price of 542.0 . This was a Bulk deal and after this purchase, the stock showed 9.94% growth in 1 month, 35.02% growth in 3 months and 60.88% growth in 1 year."
22-07-2016,Max India Ltd.(Old),Purchase,Reliance Group,"RELIALNCE MUTUAL FUND A/C RELIANCE PHARMA FUND, RELIANCE MUTUAL FUND A/C REL EQ OPP FUND RCT REOF, RELIALNCE MUTUAL FUND A/C RELIANCE GROWTH FUND",NSE,Bulk,127.78,5500000,0.0204,MAXIND.BO,21-08-2016,20-10-2016,22-07-2017,,,,"Reliance Group purchased 5500000 shares of Max India Ltd.(Old) in their RELIALNCE MUTUAL FUND A/C RELIANCE PHARMA FUND, RELIANCE MUTUAL FUND A/C REL EQ OPP FUND RCT REOF, RELIALNCE MUTUAL FUND A/C RELIANCE GROWTH FUND fund on NSE for the price of 127.78 . This was a Bulk deal and after this purchase, the stock showed nan% growth in 1 month, nan% growth in 3 months and nan% growth in 1 year."
22-07-2016,UFO Moviez India Ltd.,Purchase,Reliance Group,"RELIANCE CAPI TRUSTEE CO. LTDA/C RELIANCE REGU.SAVING FD BAL OP., RELIANCE LIFE INSURANCE COMPANY LIMITED",BSE,Bulk,536.1,361000,0.0094,UFO.NS,21-08-2016,20-10-2016,22-07-2017,-17.11,-24.81,-33.38,"Reliance Group purchased 361000 shares of UFO Moviez India Ltd. in their RELIANCE CAPI TRUSTEE CO. LTDA/C RELIANCE REGU.SAVING FD BAL OP., RELIANCE LIFE INSURANCE COMPANY LIMITED fund on BSE for the price of 536.1 . This was a Bulk deal and after this purchase, the stock showed -17.11% growth in 1 month, -24.81% growth in 3 months and -33.38% growth in 1 year."
01-08-2016,Advanced Enzyme Technologies Ltd.,Purchase,Reliance Group,RELIANCE MUTUAL FUND-VISION FUND,NSE,Bulk,1229.43,200000,0.0018,ADVENZYMES.NS,31-08-2016,30-10-2016,01-08-2017,18.83,80.56,33.27,"Reliance Group purchased 200000 shares of Advanced Enzyme Technologies Ltd. in their RELIANCE MUTUAL FUND-VISION FUND fund on NSE for the price of 1229.43 . This was a Bulk deal and after this purchase, the stock showed 18.83% growth in 1 month, 80.56% growth in 3 months and 33.27% growth in 1 year."
01-08-2016,Astra Microwave Products Ltd.,Purchase,Reliance Group,RELIANCE MUTUAL FUND,NSE,Bulk,120.05,700000,0.0074,ASTRAMICRO.NS,31-08-2016,30-10-2016,01-08-2017,-4.1,-4.01,11.25,"Reliance Group purchased 700000 shares of Astra Microwave Products Ltd. in their RELIANCE MUTUAL FUND fund on NSE for the price of 120.05 . This was a Bulk deal and after this purchase, the stock showed -4.1% growth in 1 month, -4.01% growth in 3 months and 11.25% growth in 1 year."
10-08-2016,Honda India Power Products Ltd.,Purchase,Reliance Group,"Reliance Capital Trustee Co Ltd A/c MF, RELIANCE MUTUAL FUND",BSE,Bulk,1215,328900,0.0325,HONDAPOWER.NS,09-09-2016,08-11-2016,10-08-2017,16.47,37.06,17.9,"Reliance Group purchased 328900 shares of Honda India Power Products Ltd. in their Reliance Capital Trustee Co Ltd A/c MF, RELIANCE MUTUAL FUND fund on BSE for the price of 1215.0 . This was a Bulk deal and after this purchase, the stock showed 16.47% growth in 1 month, 37.06% growth in 3 months and 17.9% growth in 1 year."
22-08-2016,Healthcare Global Enterprises Ltd.,Purchase,Reliance Group,RELIANCE MUTUAL FUND,NSE,Bulk,210,2557005,0.0183,HCG.NS,21-09-2016,20-11-2016,22-08-2017,0.28,17.35,26.56,"Reliance Group purchased 2557005 shares of Healthcare Global Enterprises Ltd. in their RELIANCE MUTUAL FUND fund on NSE for the price of 210.0 . This was a Bulk deal and after this purchase, the stock showed 0.28% growth in 1 month, 17.35% growth in 3 months and 26.56% growth in 1 year."
01-09-2016,GHCL Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON MUTUAL FUND,NSE,Bulk,257.4,1174893,0.0123,GHCL.NS,01-10-2016,30-11-2016,01-09-2017,-4.36,-7.3,-8.52,"Franklin India Group purchased 1174893 shares of GHCL Ltd. in their FRANKLIN TEMPLETON MUTUAL FUND fund on NSE for the price of 257.4 . This was a Bulk deal and after this purchase, the stock showed -4.36% growth in 1 month, -7.3% growth in 3 months and -8.52% growth in 1 year."
01-09-2016,Voltamp Transformers Ltd.,Purchase,Reliance Group,RELIANCE MUTUAL FUND,BSE,Bulk,775,659200,0.0652,VOLTAMP.NS,01-10-2016,30-11-2016,01-09-2017,-1.45,13.38,36.09,"Reliance Group purchased 659200 shares of Voltamp Transformers Ltd. in their RELIANCE MUTUAL FUND fund on BSE for the price of 775.0 . This was a Bulk deal and after this purchase, the stock showed -1.45% growth in 1 month, 13.38% growth in 3 months and 36.09% growth in 1 year."
02-09-2016,Triveni Turbine Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON MUTUALFUND FRANKLIN INDIASMALLERCOMPANIES FUND,BSE,Bulk,125,2096339,0.0066,TRITURBINE.NS,02-10-2016,01-12-2016,02-09-2017,-0.16,-5.81,7.11,"Franklin India Group purchased 2096339 shares of Triveni Turbine Ltd. in their FRANKLIN TEMPLETON MUTUALFUND FRANKLIN INDIASMALLERCOMPANIES FUND fund on BSE for the price of 125.0 . This was a Bulk deal and after this purchase, the stock showed -0.16% growth in 1 month, -5.81% growth in 3 months and 7.11% growth in 1 year."
15-09-2016,NAVA Ltd.,Purchase,Reliance Group,RELIANCE MUTUAL FUND (SCHEME RELIANCE CAPITAL TRUSTEE CO.,NSE,Bulk,112,3970551,0.0274,NAVA.NS,15-10-2016,14-12-2016,15-09-2017,19.67,6.71,19.18,"Reliance Group purchased 3970551 shares of NAVA Ltd. in their RELIANCE MUTUAL FUND (SCHEME RELIANCE CAPITAL TRUSTEE CO. fund on NSE for the price of 112.0 . This was a Bulk deal and after this purchase, the stock showed 19.67% growth in 1 month, 6.71% growth in 3 months and 19.18% growth in 1 year."
18-10-2016,ICRA Ltd.,Purchase,Franklin India Group,FRANKLIN TEMPLETON INVESTMENT FUNDS,NSE,Bulk,4100,104729,0.0109,ICRA.NS,17-11-2016,16-01-2017,18-10-2017,-4.85,-5.05,-6.24,"Franklin India Group purchased 104729 shares of ICRA Ltd. in their FRANKLIN TEMPLETON INVESTMENT FUNDS fund on NSE for the price of 4100.0 . This was a Bulk deal and after this purchase, the stock showed -4.85% growth in 1 month, -5.05% growth in 3 months and -6.24% growth in 1 year."
21-10-2016,NCC Ltd.,Purchase,Reliance Group,RELIANCE BANKING FUND,NSE,Bulk,86,13500000,0.0215,NCC.NS,20-11-2016,19-01-2017,21-10-2017,-14.51,-10.56,0.97,"Reliance Group purchased 13500000 shares of NCC Ltd. in their RELIANCE BANKING FUND fund on NSE for the price of 86.0 . This was a Bulk deal and after this purchase, the stock showed -14.51% growth in 1 month, -10.56% growth in 3 months and 0.97% growth in 1 year."
12-12-2016,Indian Terrain Fashions Ltd.,Purchase,Reliance Group,RELIANCE MUTUAL FUND,NSE,Bulk,145,899000,0.0203,INDTERRAIN.NS,11-01-2017,12-03-2017,12-12-2017,-0.51,10.07,39.01,"Reliance Group purchased 899000 shares of Indian Terrain Fashions Ltd. in their RELIANCE MUTUAL FUND fund on NSE for the price of 145.0 . This was a Bulk deal and after this purchase, the stock showed -0.51% growth in 1 month, 10.07% growth in 3 months and 39.01% growth in 1 year."
23-12-2016,Deepak Nitrite Ltd.,Purchase,Reliance Group,RELIANCE MUTUAL FUND - RELIANCE SMALL CAP FUND,NSE,Bulk,85.06,3573572,0.0262,DEEPAKNTR.NS,22-01-2017,23-03-2017,23-12-2017,18.86,38.48,171.13,"Reliance Group purchased 3573572 shares of Deepak Nitrite Ltd. in their RELIANCE MUTUAL FUND - RELIANCE SMALL CAP FUND fund on NSE for the price of 85.06 . This was a Bulk deal and after this purchase, the stock showed 18.86% growth in 1 month, 38.48% growth in 3 months and 171.13% growth in 1 year."
